CaseID,Activity,CompleteTimestamp,org:resource,org:role,case:Project,case:Task,case:OrganizationalEntity,case:Cost Type,case:RequestedAmount,case:Activity,case:RfpNumber,CumTimeInterval
3,Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 10:02:52+00:00,STAFF MEMBER,EMPLOYEE,project 147556,task 147557,organizational unit 65463,0,34.25224607843211,activity 505,request for payment number 149217,89134.0
3,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-10 10:03:15+00:00,STAFF MEMBER,SUPERVISOR,project 147556,task 147557,organizational unit 65463,0,34.25224607843211,activity 505,request for payment number 149217,89157.0
3,Request Payment,2017-01-10 13:34:59+00:00,SYSTEM,UNDEFINED,project 147556,task 147557,organizational unit 65463,0,34.25224607843211,activity 505,request for payment number 149217,101861.0
3,Payment Handled,2017-01-12 17:31:32+00:00,SYSTEM,UNDEFINED,project 147556,task 147557,organizational unit 65463,0,34.25224607843211,activity 505,request for payment number 149217,288854.0
4,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 13:21:51+00:00,STAFF MEMBER,EMPLOYEE,project 147649,task 82614,organizational unit 65463,0,437.6275839171305,activity 505,request for payment number 147887,14673.0
4,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-09 13:23:17+00:00,STAFF MEMBER,SUPERVISOR,project 147649,task 82614,organizational unit 65463,0,437.6275839171305,activity 505,request for payment number 147887,14759.0
4,Request For Payment REJECTED by MISSING,2017-01-10 15:34:19+00:00,STAFF MEMBER,MISSING,project 147649,task 82614,organizational unit 65463,0,437.6275839171305,activity 505,request for payment number 147887,109021.0
4,Request For Payment SUBMITTED by EMPLOYEE,2017-06-12 12:03:33+00:00,STAFF MEMBER,EMPLOYEE,project 147649,task 82614,organizational unit 65463,0,437.6275839171305,activity 505,request for payment number 147887,13315575.0
4,Request For Payment APPROVED by PRE_APPROVER,2017-06-12 12:04:02+00:00,STAFF MEMBER,PRE_APPROVER,project 147649,task 82614,organizational unit 65463,0,437.6275839171305,activity 505,request for payment number 147887,13315604.0
4,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-06-12 12:14:51+00:00,STAFF MEMBER,SUPERVISOR,project 147649,task 82614,organizational unit 65463,0,437.6275839171305,activity 505,request for payment number 147887,13316253.0
4,Request Payment,2017-06-13 13:02:08+00:00,SYSTEM,UNDEFINED,project 147649,task 82614,organizational unit 65463,0,437.6275839171305,activity 505,request for payment number 147887,13405490.0
4,Payment Handled,2017-06-15 17:31:12+00:00,SYSTEM,UNDEFINED,project 147649,task 82614,organizational unit 65463,0,437.6275839171305,activity 505,request for payment number 147887,13594434.0
5,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 13:26:20+00:00,STAFF MEMBER,EMPLOYEE,project 149147,task 82614,organizational unit 65463,0,32.550812026894,activity 505,request for payment number 149146,14942.0
5,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-09 13:26:22+00:00,STAFF MEMBER,SUPERVISOR,project 149147,task 82614,organizational unit 65463,0,32.550812026894,activity 505,request for payment number 149146,14944.0
5,Request For Payment REJECTED by MISSING,2017-01-10 15:33:09+00:00,STAFF MEMBER,MISSING,project 149147,task 82614,organizational unit 65463,0,32.550812026894,activity 505,request for payment number 149146,108951.0
5,Request For Payment SUBMITTED by EMPLOYEE,2017-06-12 12:08:05+00:00,STAFF MEMBER,EMPLOYEE,project 149147,task 82614,organizational unit 65463,0,32.550812026894,activity 505,request for payment number 149146,13315847.0
5,Request For Payment APPROVED by PRE_APPROVER,2017-06-12 12:08:14+00:00,STAFF MEMBER,PRE_APPROVER,project 149147,task 82614,organizational unit 65463,0,32.550812026894,activity 505,request for payment number 149146,13315856.0
5,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-06-12 12:13:06+00:00,STAFF MEMBER,SUPERVISOR,project 149147,task 82614,organizational unit 65463,0,32.550812026894,activity 505,request for payment number 149146,13316148.0
5,Request Payment,2017-06-13 13:00:10+00:00,SYSTEM,UNDEFINED,project 149147,task 82614,organizational unit 65463,0,32.550812026894,activity 505,request for payment number 149146,13405372.0
5,Payment Handled,2017-06-15 17:31:12+00:00,SYSTEM,UNDEFINED,project 149147,task 82614,organizational unit 65463,0,32.550812026894,activity 505,request for payment number 149146,13594434.0
6,Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 14:56:59+00:00,STAFF MEMBER,EMPLOYEE,project 503,task 147599,organizational unit 65458,0,53.99955609576994,activity 505,request for payment number 147598,106781.0
6,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-10 14:57:53+00:00,STAFF MEMBER,SUPERVISOR,project 503,task 147599,organizational unit 65458,0,53.99955609576994,activity 505,request for payment number 147598,106835.0
6,Request Payment,2017-01-25 11:35:31+00:00,SYSTEM,UNDEFINED,project 503,task 147599,organizational unit 65458,0,53.99955609576994,activity 505,request for payment number 147598,1390693.0
6,Payment Handled,2017-01-30 17:31:40+00:00,SYSTEM,UNDEFINED,project 503,task 147599,organizational unit 65458,0,53.99955609576994,activity 505,request for payment number 147598,1844062.0
7,Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 15:02:39+00:00,STAFF MEMBER,EMPLOYEE,project 147582,task 147599,organizational unit 65458,0,430.9164576442441,activity 505,request for payment number 149370,107121.0
7,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-10 15:02:53+00:00,STAFF MEMBER,SUPERVISOR,project 147582,task 147599,organizational unit 65458,0,430.9164576442441,activity 505,request for payment number 149370,107135.0
7,Request Payment,2017-01-25 11:34:47+00:00,SYSTEM,UNDEFINED,project 147582,task 147599,organizational unit 65458,0,430.9164576442441,activity 505,request for payment number 149370,1390649.0
7,Payment Handled,2017-01-30 17:31:40+00:00,SYSTEM,UNDEFINED,project 147582,task 147599,organizational unit 65458,0,430.9164576442441,activity 505,request for payment number 149370,1844062.0
8,Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 15:18:56+00:00,STAFF MEMBER,EMPLOYEE,project 147582,UNKNOWN,organizational unit 65463,0,31.71504266521492,UNKNOWN,request for payment number 148224,108098.0
8,Request For Payment APPROVED by PRE_APPROVER,2017-01-10 15:19:04+00:00,STAFF MEMBER,PRE_APPROVER,project 147582,UNKNOWN,organizational unit 65463,0,31.71504266521492,UNKNOWN,request for payment number 148224,108106.0
8,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-10 15:26:13+00:00,STAFF MEMBER,SUPERVISOR,project 147582,UNKNOWN,organizational unit 65463,0,31.71504266521492,UNKNOWN,request for payment number 148224,108535.0
8,Request Payment,2017-01-10 15:30:50+00:00,SYSTEM,UNDEFINED,project 147582,UNKNOWN,organizational unit 65463,0,31.71504266521492,UNKNOWN,request for payment number 148224,108812.0
8,Payment Handled,2017-01-12 17:31:32+00:00,SYSTEM,UNDEFINED,project 147582,UNKNOWN,organizational unit 65463,0,31.71504266521492,UNKNOWN,request for payment number 148224,288854.0
9,Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 17:19:05+00:00,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65463,0,246.8039601180534,UNKNOWN,request for payment number 149831,115307.0
9,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-11 09:54:26+00:00,STAFF MEMBER,SUPERVISOR,project 147546,UNKNOWN,organizational unit 65463,0,246.8039601180534,UNKNOWN,request for payment number 149831,175028.0
9,Request Payment,2017-01-12 10:04:27+00:00,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65463,0,246.8039601180534,UNKNOWN,request for payment number 149831,262029.0
9,Payment Handled,2017-01-16 17:32:18+00:00,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65463,0,246.8039601180534,UNKNOWN,request for payment number 149831,634500.0
10,Request For Payment SUBMITTED by EMPLOYEE,2017-01-11 11:48:40+00:00,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65458,0,248.33579089019588,UNKNOWN,request for payment number 148630,181882.0
10,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-11 11:48:51+00:00,STAFF MEMBER,SUPERVISOR,project 503,UNKNOWN,organizational unit 65458,0,248.33579089019588,UNKNOWN,request for payment number 148630,181893.0
10,Request Payment,2017-01-25 11:33:08+00:00,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0,248.33579089019588,UNKNOWN,request for payment number 148630,1390550.0
10,Payment Handled,2017-01-30 17:31:40+00:00,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0,248.33579089019588,UNKNOWN,request for payment number 148630,1844062.0
11,Request For Payment SUBMITTED by EMPLOYEE,2017-01-12 09:07:24+00:00,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0,325.2739525493613,UNKNOWN,request for payment number 147895,258606.0
11,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-12 09:08:56+00:00,STAFF MEMBER,SUPERVISOR,project 147546,UNKNOWN,organizational unit 65458,0,325.2739525493613,UNKNOWN,request for payment number 147895,258698.0
11,Request Payment,2017-01-13 14:13:51+00:00,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0,325.2739525493613,UNKNOWN,request for payment number 147895,363393.0
11,Payment Handled,2017-01-16 17:32:18+00:00,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0,325.2739525493613,UNKNOWN,request for payment number 147895,634500.0
12,Request For Payment SUBMITTED by EMPLOYEE,2017-01-12 11:12:33+00:00,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0,96.47232713406254,UNKNOWN,request for payment number 147899,266115.0
12,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-12 11:12:51+00:00,STAFF MEMBER,SUPERVISOR,project 147546,UNKNOWN,organizational unit 65458,0,96.47232713406254,UNKNOWN,request for payment number 147899,266133.0
12,Request Payment,2017-01-13 14:12:38+00:00,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0,96.47232713406254,UNKNOWN,request for payment number 147899,363320.0
12,Payment Handled,2017-01-16 17:32:18+00:00,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0,96.47232713406254,UNKNOWN,request for payment number 147899,634500.0
13,Request For Payment SUBMITTED by EMPLOYEE,2017-01-12 11:38:27+00:00,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65463,0,460.89001284125504,UNKNOWN,request for payment number 148634,267669.0
13,Request For Payment APPROVED by PRE_APPROVER,2017-01-12 11:39:17+00:00,STAFF MEMBER,PRE_APPROVER,project 503,UNKNOWN,organizational unit 65463,0,460.89001284125504,UNKNOWN,request for payment number 148634,267719.0
13,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 10:42:06+00:00,STAFF MEMBER,SUPERVISOR,project 503,UNKNOWN,organizational unit 65463,0,460.89001284125504,UNKNOWN,request for payment number 148634,696288.0
13,Request Payment,2017-01-19 10:51:49+00:00,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65463,0,460.89001284125504,UNKNOWN,request for payment number 148634,869671.0
13,Payment Handled,2017-01-23 17:32:19+00:00,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65463,0,460.89001284125504,UNKNOWN,request for payment number 148634,1239301.0
14,Request For Payment SUBMITTED by EMPLOYEE,2017-01-12 14:52:53+00:00,STAFF MEMBER,EMPLOYEE,project 147620,UNKNOWN,organizational unit 65463,0,4205.867568279362,UNKNOWN,request for payment number 149909,279335.0
14,Request For Payment APPROVED by SUPERVISOR,2017-01-12 14:53:16+00:00,STAFF MEMBER,SUPERVISOR,project 147620,UNKNOWN,organizational unit 65463,0,4205.867568279362,UNKNOWN,request for payment number 149909,279358.0
14,Request For Payment FINAL_APPROVED by DIRECTOR,2017-01-17 10:47:38+00:00,STAFF MEMBER,DIRECTOR,project 147620,UNKNOWN,organizational unit 65463,0,4205.867568279362,UNKNOWN,request for payment number 149909,696620.0
14,Request Payment,2017-01-17 15:34:01+00:00,SYSTEM,UNDEFINED,project 147620,UNKNOWN,organizational unit 65463,0,4205.867568279362,UNKNOWN,request for payment number 149909,713803.0
14,Payment Handled,2017-01-19 17:31:50+00:00,SYSTEM,UNDEFINED,project 147620,UNKNOWN,organizational unit 65463,0,4205.867568279362,UNKNOWN,request for payment number 149909,893672.0
15,Request For Payment SUBMITTED by EMPLOYEE,2017-01-12 16:48:17+00:00,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65458,0,38.63303375588632,UNKNOWN,request for payment number 149295,286259.0
15,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-12 16:48:22+00:00,STAFF MEMBER,SUPERVISOR,project 503,UNKNOWN,organizational unit 65458,0,38.63303375588632,UNKNOWN,request for payment number 149295,286264.0
15,Request Payment,2017-01-13 14:11:33+00:00,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0,38.63303375588632,UNKNOWN,request for payment number 149295,363255.0
15,Payment Handled,2017-01-16 17:32:18+00:00,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0,38.63303375588632,UNKNOWN,request for payment number 149295,634500.0
16,Request For Payment SUBMITTED by EMPLOYEE,2017-01-13 09:36:06+00:00,STAFF MEMBER,EMPLOYEE,project 147556,UNKNOWN,organizational unit 65463,0,112.586736524557,UNKNOWN,request for payment number 149914,346728.0
16,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-13 09:36:18+00:00,STAFF MEMBER,SUPERVISOR,project 147556,UNKNOWN,organizational unit 65463,0,112.586736524557,UNKNOWN,request for payment number 149914,346740.0
16,Request For Payment REJECTED by MISSING,2017-01-16 09:52:47+00:00,STAFF MEMBER,MISSING,project 147556,UNKNOWN,organizational unit 65463,0,112.586736524557,UNKNOWN,request for payment number 149914,606929.0
16,Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 10:08:48+00:00,STAFF MEMBER,EMPLOYEE,project 147556,UNKNOWN,organizational unit 65463,0,112.586736524557,UNKNOWN,request for payment number 149914,607890.0
16,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-16 10:09:07+00:00,STAFF MEMBER,SUPERVISOR,project 147556,UNKNOWN,organizational unit 65463,0,112.586736524557,UNKNOWN,request for payment number 149914,607909.0
16,Request Payment,2017-01-20 10:44:56+00:00,SYSTEM,UNDEFINED,project 147556,UNKNOWN,organizational unit 65463,0,112.586736524557,UNKNOWN,request for payment number 149914,955658.0
16,Payment Handled,2017-01-23 17:32:19+00:00,SYSTEM,UNDEFINED,project 147556,UNKNOWN,organizational unit 65463,0,112.586736524557,UNKNOWN,request for payment number 149914,1239301.0
17,Request For Payment SUBMITTED by EMPLOYEE,2017-01-13 18:30:34+00:00,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65458,0,325.19910712796417,UNKNOWN,request for payment number 149224,378796.0
17,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-13 18:30:54+00:00,STAFF MEMBER,SUPERVISOR,project 503,UNKNOWN,organizational unit 65458,0,325.19910712796417,UNKNOWN,request for payment number 149224,378816.0
17,Request Payment,2017-01-16 15:08:50+00:00,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0,325.19910712796417,UNKNOWN,request for payment number 149224,625892.0
17,Payment Handled,2017-01-19 17:31:50+00:00,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0,325.19910712796417,UNKNOWN,request for payment number 149224,893672.0
18,Request For Payment SUBMITTED by EMPLOYEE,2017-01-14 12:04:31+00:00,STAFF MEMBER,EMPLOYEE,project 147551,UNKNOWN,organizational unit 65458,0,185.5206789946729,UNKNOWN,request for payment number 148884,442033.0
18,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-14 12:06:14+00:00,STAFF MEMBER,SUPERVISOR,project 147551,UNKNOWN,organizational unit 65458,0,185.5206789946729,UNKNOWN,request for payment number 148884,442136.0
18,Request Payment,2017-01-25 11:27:59+00:00,SYSTEM,UNDEFINED,project 147551,UNKNOWN,organizational unit 65458,0,185.5206789946729,UNKNOWN,request for payment number 148884,1390241.0
18,Payment Handled,2017-01-30 17:31:40+00:00,SYSTEM,UNDEFINED,project 147551,UNKNOWN,organizational unit 65458,0,185.5206789946729,UNKNOWN,request for payment number 148884,1844062.0
19,Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 10:23:48+00:00,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65463,0,41.02138175756728,UNKNOWN,request for payment number 149159,608790.0
19,Request For Payment APPROVED by PRE_APPROVER,2017-01-16 10:23:57+00:00,STAFF MEMBER,PRE_APPROVER,project 503,UNKNOWN,organizational unit 65463,0,41.02138175756728,UNKNOWN,request for payment number 149159,608799.0
19,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-23 05:15:02+00:00,STAFF MEMBER,SUPERVISOR,project 503,UNKNOWN,organizational unit 65463,0,41.02138175756728,UNKNOWN,request for payment number 149159,1195064.0
19,Request Payment,2017-02-02 10:23:55+00:00,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65463,0,41.02138175756728,UNKNOWN,request for payment number 149159,2077597.0
19,Payment Handled,2017-02-06 17:31:45+00:00,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65463,0,41.02138175756728,UNKNOWN,request for payment number 149159,2448867.0
20,Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 12:10:30+00:00,STAFF MEMBER,EMPLOYEE,project 503,task 74419,organizational unit 65463,0,3441.5162056141467,activity 505,UNKNOWN,615192.0
20,Request For Payment REJECTED by PRE_APPROVER,2017-02-06 15:56:17+00:00,STAFF MEMBER,PRE_APPROVER,project 503,task 74419,organizational unit 65463,0,3441.5162056141467,activity 505,UNKNOWN,2443139.0
20,Request For Payment REJECTED by EMPLOYEE,2017-02-06 16:09:19+00:00,STAFF MEMBER,EMPLOYEE,project 503,task 74419,organizational unit 65463,0,3441.5162056141467,activity 505,UNKNOWN,2443921.0
20,Request For Payment SUBMITTED by EMPLOYEE,2017-02-06 16:38:33+00:00,STAFF MEMBER,EMPLOYEE,project 503,task 74419,organizational unit 65463,0,3441.5162056141467,activity 505,UNKNOWN,2445675.0
20,Request For Payment APPROVED by PRE_APPROVER,2017-02-06 16:38:37+00:00,STAFF MEMBER,PRE_APPROVER,project 503,task 74419,organizational unit 65463,0,3441.5162056141467,activity 505,UNKNOWN,2445679.0
20,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-06 17:06:26+00:00,STAFF MEMBER,SUPERVISOR,project 503,task 74419,organizational unit 65463,0,3441.5162056141467,activity 505,UNKNOWN,2447348.0
20,Request For Payment REJECTED by MISSING,2017-02-08 15:36:48+00:00,STAFF MEMBER,MISSING,project 503,task 74419,organizational unit 65463,0,3441.5162056141467,activity 505,UNKNOWN,2614770.0
21,Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 13:09:44+00:00,STAFF MEMBER,EMPLOYEE,project 147908,UNKNOWN,organizational unit 65458,0,3.934400805535731,UNKNOWN,request for payment number 148505,618746.0
21,Request For Payment APPROVED by PRE_APPROVER,2017-01-16 13:09:50+00:00,STAFF MEMBER,PRE_APPROVER,project 147908,UNKNOWN,organizational unit 65458,0,3.934400805535731,UNKNOWN,request for payment number 148505,618752.0
21,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-23 05:15:02+00:00,STAFF MEMBER,SUPERVISOR,project 147908,UNKNOWN,organizational unit 65458,0,3.934400805535731,UNKNOWN,request for payment number 148505,1195064.0
21,Request Payment,2017-01-25 11:02:46+00:00,SYSTEM,UNDEFINED,project 147908,UNKNOWN,organizational unit 65458,0,3.934400805535731,UNKNOWN,request for payment number 148505,1388728.0
21,Payment Handled,2017-01-30 17:31:40+00:00,SYSTEM,UNDEFINED,project 147908,UNKNOWN,organizational unit 65458,0,3.934400805535731,UNKNOWN,request for payment number 148505,1844062.0
22,Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 13:53:32+00:00,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0,38.46467306686371,UNKNOWN,request for payment number 147939,621374.0
22,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-16 13:56:33+00:00,STAFF MEMBER,SUPERVISOR,project 147546,UNKNOWN,organizational unit 65458,0,38.46467306686371,UNKNOWN,request for payment number 147939,621555.0
22,Request Payment,2017-01-16 15:08:13+00:00,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0,38.46467306686371,UNKNOWN,request for payment number 147939,625855.0
22,Payment Handled,2017-01-19 17:31:50+00:00,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0,38.46467306686371,UNKNOWN,request for payment number 147939,893672.0
23,Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 16:18:33+00:00,STAFF MEMBER,EMPLOYEE,project 503,task 147825,organizational unit 65463,0,23.42869687069603,activity 505,request for payment number 149661,630075.0
23,Request For Payment APPROVED by PRE_APPROVER,2017-01-16 16:19:49+00:00,STAFF MEMBER,PRE_APPROVER,project 503,task 147825,organizational unit 65463,0,23.42869687069603,activity 505,request for payment number 149661,630151.0
23,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 11:23:58+00:00,STAFF MEMBER,SUPERVISOR,project 503,task 147825,organizational unit 65463,0,23.42869687069603,activity 505,request for payment number 149661,698800.0
23,Request Payment,2017-01-18 15:38:44+00:00,SYSTEM,UNDEFINED,project 503,task 147825,organizational unit 65463,0,23.42869687069603,activity 505,request for payment number 149661,800486.0
23,Payment Handled,2017-01-23 17:32:19+00:00,SYSTEM,UNDEFINED,project 503,task 147825,organizational unit 65463,0,23.42869687069603,activity 505,request for payment number 149661,1239301.0
24,Request For Payment SUBMITTED by EMPLOYEE,2017-01-17 10:35:54+00:00,STAFF MEMBER,EMPLOYEE,project 147556,UNKNOWN,organizational unit 65463,0,6.626098975813822,UNKNOWN,request for payment number 147747,695916.0
24,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 10:40:02+00:00,STAFF MEMBER,SUPERVISOR,project 147556,UNKNOWN,organizational unit 65463,0,6.626098975813822,UNKNOWN,request for payment number 147747,696164.0
24,Request Payment,2017-01-24 09:59:44+00:00,SYSTEM,UNDEFINED,project 147556,UNKNOWN,organizational unit 65463,0,6.626098975813822,UNKNOWN,request for payment number 147747,1298546.0
24,Payment Handled,2017-01-26 17:30:47+00:00,SYSTEM,UNDEFINED,project 147556,UNKNOWN,organizational unit 65463,0,6.626098975813822,UNKNOWN,request for payment number 147747,1498409.0
25,Request For Payment SUBMITTED by EMPLOYEE,2017-01-17 12:03:11+00:00,STAFF MEMBER,EMPLOYEE,project 147620,UNKNOWN,organizational unit 65458,0,53.01544358794025,UNKNOWN,request for payment number 149155,701153.0
25,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 12:03:30+00:00,STAFF MEMBER,SUPERVISOR,project 147620,UNKNOWN,organizational unit 65458,0,53.01544358794025,UNKNOWN,request for payment number 149155,701172.0
25,Request Payment,2017-01-19 15:53:59+00:00,SYSTEM,UNDEFINED,project 147620,UNKNOWN,organizational unit 65458,0,53.01544358794025,UNKNOWN,request for payment number 149155,887801.0
25,Payment Handled,2017-01-23 17:32:19+00:00,SYSTEM,UNDEFINED,project 147620,UNKNOWN,organizational unit 65458,0,53.01544358794025,UNKNOWN,request for payment number 149155,1239301.0
26,Request For Payment SUBMITTED by EMPLOYEE,2017-01-17 13:20:46+00:00,STAFF MEMBER,EMPLOYEE,project 147843,UNKNOWN,organizational unit 65463,0,128.05998076667805,UNKNOWN,request for payment number 147903,705808.0
26,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 13:34:53+00:00,STAFF MEMBER,SUPERVISOR,project 147843,UNKNOWN,organizational unit 65463,0,128.05998076667805,UNKNOWN,request for payment number 147903,706655.0
26,Request Payment,2017-01-24 11:29:18+00:00,SYSTEM,UNDEFINED,project 147843,UNKNOWN,organizational unit 65463,0,128.05998076667805,UNKNOWN,request for payment number 147903,1303920.0
26,Payment Handled,2017-01-26 17:30:47+00:00,SYSTEM,UNDEFINED,project 147843,UNKNOWN,organizational unit 65463,0,128.05998076667805,UNKNOWN,request for payment number 147903,1498409.0
